candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_91,0.3257312957,6.0000000000,11.3000000000,2.1342435586,0.3000000000,2.5634473041,1.0000000000,true,1.0000000000,0.8923552512,1.0000000000
RZE_resampled_92,0.3200000000,6.0000000000,11.3000000000,2.1200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9026939497,1.0000000000
RZE_resampled_93,0.3500000000,6.0000000000,11.3000000000,2.1500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_94,0.3800000000,6.0000000000,11.3000000000,2.1800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_95,0.3589558648,6.0000000000,11.3000000000,2.1548753464,0.3000000000,2.5371456405,1.0000000000,true,1.0000000000,0.9903613783,1.0000000000
RZE_resampled_96,0.3200000000,6.0000000000,11.3000000000,2.0800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_98,0.3800000000,6.0000000000,11.3000000000,2.0200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_99,0.2578880764,6.0000000000,11.3000000000,2.1778647073,0.3000000000,2.5234121760,1.0000000000,true,1.0000000000,0.8252695143,1.0000000000
RZE_resampled_100,0.3000000000,6.0000000000,11.3000000000,2.2200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8877432659,1.0000000000
RZE_resampled_101,0.3000000000,6.0000000000,11.3000000000,2.2500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8922003805,1.0000000000
RZE_resampled_102,0.3000000000,6.0000000000,11.3000000000,2.2800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8965172887,1.0000000000
RZE_resampled_103,0.3311754811,6.0000000000,11.3000000000,2.2030922300,0.3000000000,2.4985943905,1.0000000000,true,1.0000000000,0.9352198588,1.0000000000
RZE_resampled_104,0.3200000000,6.0000000000,11.3000000000,2.2000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9151353626,1.0000000000
RZE_resampled_105,0.3500000000,6.0000000000,11.3000000000,2.2000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_106,0.3800000000,6.0000000000,11.3000000000,2.2000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_107,0.3323700916,6.0000000000,11.3000000000,2.2043727795,0.3000000000,2.4808232087,1.0000000000,true,1.0000000000,0.9440822582,1.0000000000
RZE_resampled_111,0.3147739348,6.0000000000,11.3000000000,2.1419559114,0.3000000000,2.4705141053,1.0000000000,true,1.0000000000,0.9078156386,1.0000000000
RZE_resampled_112,0.3200000000,6.0000000000,11.3000000000,2.2200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9180646056,1.0000000000
RZE_resampled_113,0.3500000000,6.0000000000,11.3000000000,2.2500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_114,0.3800000000,6.0000000000,11.3000000000,2.2800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_115,0.2863467256,6.0000000000,11.3000000000,2.1415500861,0.3000000000,2.4292307826,1.0000000000,true,1.0000000000,0.8779306364,1.0000000000
RZE_resampled_116,0.3200000000,6.0000000000,11.3000000000,2.1800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9121362669,1.0000000000
RZE_resampled_118,0.3800000000,6.0000000000,11.3000000000,2.1200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_119,0.1978534872,6.0000000000,11.3000000000,2.2331833672,0.3000000000,2.5451524999,1.0000000000,true,1.0000000000,0.7821212767,1.0000000000
